A:<48656> B:<12726>
A:<7776> B:<44462>
A:<51279> B:<57640>
A:<5813> B:<12025>
A:<53397> B:<6731>
A:<51739> B:<25324>
A:<26528> B:<58413>
A:<303> B:<27170>
A:<56363> B:<5997>
A:<62792> B:<12824>
A:<16056> B:<57799>
A:<54337> B:<46816>
A:<55287> B:<2492>
A:<27007> B:<5503>
A:<15912> B:<22799>
A:<47612> B:<49023>
A:<55450> B:<53287>
A:<12917> B:<13003>
A:<39301> B:<63782>
A:<10843> B:<2061>
A:<18260> B:<26886>
A:<44133> B:<61910>
A:<2274> B:<13745>
A:<62967> B:<64251>
A:<6011> B:<32256>
A:<64199> B:<49999>
A:<30816> B:<8137>
A:<11538> B:<56326>
A:<13970> B:<4643>
A:<17535> B:<59725>
A:<4442> B:<48704>
A:<3160> B:<38729>
A:<28726> B:<108>
A:<53620> B:<45261>
A:<62059> B:<41032>
A:<42896> B:<58527>
A:<59454> B:<7534>
A:<43177> B:<14013>
A:<61475> B:<5395>
A:<62830> B:<25842>
A:<33526> B:<20862>
A:<1173> B:<18007>
A:<7689> B:<25650>
A:<63009> B:<46033>
A:<13404> B:<38036>
A:<35066> B:<62485>
A:<14273> B:<63020>
A:<18080> B:<50768>
A:<41996> B:<46720>
A:<36421> B:<18436>
A:<47889> B:<46464>
A:<63890> B:<26248>
A:<7036> B:<15806>
A:<9968> B:<6247>
A:<5452> B:<19453>
A:<46480> B:<4835>
A:<44932> B:<29651>
A:<15459> B:<60117>
A:<35518> B:<38402>
A:<64528> B:<48520>
A:<26279> B:<5799>
A:<8344> B:<34715>
A:<17398> B:<63914>
A:<53608> B:<57825>
A:<7264> B:<57924>
A:<44232> B:<48664>
A:<19725> B:<38969>
A:<50626> B:<31396>
A:<22877> B:<41479>
A:<20524> B:<15783>
A:<25594> B:<19013>
A:<20081> B:<30178>
A:<49033> B:<27766>
A:<24364> B:<35380>
A:<4266> B:<23450>
A:<17881> B:<50977>
A:<703> B:<20323>
A:<52048> B:<14430>
A:<30223> B:<12111>
A:<21001> B:<50930>
A:<10602> B:<32923>
A:<4905> B:<27267>
A:<22431> B:<8170>
A:<32598> B:<11185>
